FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,Block,ReusedCount,Class,Year,BoosterCategory
22,2012-09-03,Falcon 9 B4,5761.8,MEO,VAFB SLC-4E,No attempt,4,True,True,True,4,3,0,2012,B4
23,2012-03-16,Falcon 9 v1.1,5884.6,PO,KSC LC-39A,Success (ground pad),1,False,False,True,2,0,1,2012,v1.1
24,2012-05-16,Falcon 9 B4,2822.9,PO,VAFB SLC-4E,Failure (parachute),1,True,False,True,4,0,0,2012,B4
25,2012-03-22,Falcon 9 FT,7433.1,PO,KSC LC-39A,Failure (parachute),1,True,False,True,3,0,0,2012,FT
26,2012-05-16,Falcon 9 FT,4972.9,LEO,KSC LC-39A,Success (ground pad),3,True,True,True,3,2,1,2012,FT
27,2013-09-05,Falcon 9 B5,6541.1,ES-L1,VAFB SLC-4E,Failure (drone ship),2,True,True,True,5,1,0,2013,B5
28,2013-02-25,Falcon 9 FT,5339.8,MEO,VAFB SLC-4E,Success (drone ship),2,True,True,True,3,1,1,2013,FT
29,2013-11-10,Falcon 9 B5,7419.4,SSO,CCAFS SLC-40,Success (ground pad),4,True,True,True,5,3,1,2013,B5
30,2013-09-04,Falcon 9 B5,7845.6,PO,KSC LC-39A,No attempt,1,True,False,True,5,0,0,2013,B5
31,2013-12-02,Falcon 9,4432.2,GTO,KSC LC-39A,Failure (parachute),1,False,False,False,1,0,0,2013,v1.0
32,2013-04-10,Falcon 9 B5,5680.1,ISS,CCAFS SLC-40,No attempt,1,True,False,True,5,0,0,2013,B5
33,2013-05-07,Falcon 9,5600.3,GTO,KSC LC-39A,No attempt,2,False,True,False,1,1,0,2013,v1.0
34,2013-01-24,Falcon 9 FT,4066.5,GTO,CCAFS SLC-40,Success (ground pad),3,True,True,True,3,2,1,2013,FT
35,2013-10-26,Falcon 9 v1.1,6199.1,SSO,KSC LC-39A,Success (ground pad),2,False,True,True,2,1,1,2013,v1.1
36,2014-06-23,Falcon 9,1953.1,GTO,CCAFS SLC-40,Success (drone ship),1,False,False,False,1,0,1,2014,v1.0
37,2014-01-14,Falcon 9 B5,7038.0,ISS,CCAFS SLC-40,Failure (drone ship),3,True,True,True,5,2,0,2014,B5
38,2014-10-26,Falcon 9 B5,6819.8,GTO,KSC LC-39A,Failure (parachute),4,True,True,True,5,3,0,2014,B5
39,2014-04-24,Falcon 9 B4,3224.3,MEO,VAFB SLC-4E,No attempt,2,True,True,True,4,1,0,2014,B4
40,2014-12-14,Falcon 9,5949.4,LEO,KSC LC-39A,Success (drone ship),2,False,True,False,1,1,1,2014,v1.0
41,2014-02-19,Falcon 9 FT,6285.4,PO,VAFB SLC-4E,No attempt,1,True,False,True,3,0,0,2014,FT
42,2014-10-05,Falcon 9 B5,3975.6,MEO,VAFB SLC-4E,Success (drone ship),2,True,True,True,5,1,1,2014,B5
43,2014-05-12,Falcon 9 FT,7315.9,LEO,VAFB SLC-4E,Success (ground pad),1,True,False,True,3,0,1,2014,FT
44,2014-11-19,Falcon 9 FT,7289.7,LEO,VAFB SLC-4E,Success (drone ship),4,True,True,True,3,3,1,2014,FT
45,2015-05-05,Falcon 9 FT,8150.8,SSO,KSC LC-39A,Failure (drone ship),1,True,False,True,3,0,0,2015,FT
46,2015-07-14,Falcon 9 B4,2867.3,GTO,VAFB SLC-4E,Success (drone ship),1,True,False,True,4,0,1,2015,B4
47,2015-10-26,Falcon 9 B4,4546.7,MEO,KSC LC-39A,Success (drone ship),2,True,True,True,4,1,1,2015,B4
48,2015-01-22,Falcon 9 B5,5948.4,VLEO,VAFB SLC-4E,Failure (drone ship),1,True,False,True,5,0,0,2015,B5
49,2015-12-22,Falcon 9 B4,3758.2,GTO,CCAFS SLC-40,Success (drone ship),3,True,True,True,4,2,1,2015,B4
50,2015-07-01,Falcon 9 B4,2921.7,LEO,CCAFS SLC-40,Success (drone ship),2,True,True,True,4,1,1,2015,B4
51,2015-10-12,Falcon 9 B5,1327.2,LEO,VAFB SLC-4E,Failure (drone ship),2,True,True,True,5,1,0,2015,B5
52,2015-09-17,Falcon 9 B4,6818.0,GTO,KSC LC-39A,No attempt,1,True,False,True,4,0,0,2015,B4
53,2015-12-10,Falcon 9 B5,5255.9,PO,CCAFS SLC-40,Success (drone ship),1,True,False,True,5,0,1,2015,B5
54,2016-02-05,Falcon 9 B5,7647.9,HEO,KSC LC-39A,Failure (drone ship),3,True,True,True,5,2,0,2016,B5
55,2016-03-06,Falcon 9 B5,7132.3,ISS,VAFB SLC-4E,Failure (drone ship),1,True,False,True,5,0,0,2016,B5
56,2016-01-22,Falcon 9 B5,8748.6,HEO,CCAFS SLC-40,Failure (drone ship),4,True,True,True,5,3,0,2016,B5
57,2016-03-01,Falcon 9,5981.1,GTO,KSC LC-39A,Failure (parachute),3,False,True,False,1,2,0,2016,v1.0
58,2016-05-14,Falcon 9 FT,4434.4,ISS,CCAFS SLC-40,Success (ground pad),2,True,True,True,3,1,1,2016,FT
59,2016-08-07,Falcon 9 B4,8912.5,GTO,VAFB SLC-4E,Failure (parachute),2,True,True,True,4,1,0,2016,B4
60,2016-07-15,Falcon 9 B5,5754.5,PO,VAFB SLC-4E,Failure (parachute),3,True,True,True,5,2,0,2016,B5
61,2016-11-19,Falcon 9 B5,5940.3,SSO,CCAFS SLC-40,Success (ground pad),2,True,True,True,5,1,1,2016,B5
62,2016-08-17,Falcon 9 FT,724.1,ISS,CCAFS SLC-40,Failure (drone ship),1,True,False,True,3,0,0,2016,FT
63,2017-11-11,Falcon 9 FT,6306.5,LEO,CCAFS SLC-40,Failure (drone ship),2,True,True,True,3,1,0,2017,FT
64,2017-10-19,Falcon 9,3432.3,LEO,CCAFS SLC-40,Success (drone ship),1,False,False,False,1,0,1,2017,v1.0
65,2017-09-12,Falcon 9 FT,5626.4,PO,CCAFS SLC-40,Failure (parachute),1,True,False,True,3,0,0,2017,FT
66,2017-11-16,Falcon 9,477.8,ISS,VAFB SLC-4E,Failure (drone ship),1,False,False,False,1,0,0,2017,v1.0
67,2017-08-22,Falcon 9 FT,5922.6,SSO,CCAFS SLC-40,Success (drone ship),3,True,True,True,3,2,1,2017,FT
68,2017-12-13,Falcon 9 B5,9013.6,ISS,CCAFS SLC-40,Success (ground pad),1,True,False,True,5,0,1,2017,B5
69,2017-07-25,Falcon 9 B5,5665.6,LEO,CCAFS SLC-40,Success (drone ship),2,True,True,True,5,1,1,2017,B5
70,2017-04-15,Falcon 9 B4,3575.0,GTO,KSC LC-39A,Success (drone ship),1,True,False,True,4,0,1,2017,B4
71,2017-04-26,Falcon 9 B4,5475.3,ISS,VAFB SLC-4E,Success (drone ship),1,True,False,True,4,0,1,2017,B4
72,2018-04-11,Falcon 9,1896.4,MEO,CCAFS SLC-40,Failure (drone ship),1,False,False,False,1,0,0,2018,v1.0
73,2018-05-04,Falcon 9 B5,5882.7,VLEO,CCAFS SLC-40,Failure (drone ship),3,True,True,True,5,2,0,2018,B5
74,2018-11-08,Falcon 9 FT,7497.3,MEO,CCAFS SLC-40,No attempt,1,True,False,True,3,0,0,2018,FT
75,2018-04-17,Falcon 9 B4,7672.5,LEO,KSC LC-39A,Failure (drone ship),2,True,True,True,4,1,0,2018,B4
76,2018-08-10,Falcon 9 B4,7181.2,GTO,CCAFS SLC-40,Failure (drone ship),1,True,False,True,4,0,0,2018,B4
77,2018-09-17,Falcon 9 v1.1,10757.7,SSO,CCAFS SLC-40,No attempt,1,False,False,True,2,0,0,2018,v1.1
78,2018-05-24,Falcon 9 B5,4170.3,LEO,CCAFS SLC-40,No attempt,1,True,False,True,5,0,0,2018,B5
79,2018-08-11,Falcon 9 B5,4427.3,LEO,VAFB SLC-4E,Success (drone ship),1,True,False,True,5,0,1,2018,B5
80,2018-10-25,Falcon 9 B4,4548.4,GTO,KSC LC-39A,Failure (parachute),2,True,True,True,4,1,0,2018,B4
81,2019-01-25,Falcon 9 FT,7011.0,LEO,CCAFS SLC-40,Success (drone ship),1,True,False,True,3,0,1,2019,FT
82,2019-03-08,Falcon 9 B4,352.9,LEO,VAFB SLC-4E,Success (ground pad),3,True,True,True,4,2,1,2019,B4
83,2019-05-27,Falcon 9 B4,5657.4,SSO,VAFB SLC-4E,Success (ground pad),1,True,False,True,4,0,1,2019,B4
84,2019-04-13,Falcon 9 v1.1,4449.2,ISS,KSC LC-39A,Success (drone ship),3,False,True,True,2,2,1,2019,v1.1
85,2019-03-04,Falcon 9 B4,3797.7,LEO,VAFB SLC-4E,Success (drone ship),1,True,False,True,4,0,1,2019,B4
86,2019-11-12,Falcon 9 B5,2761.8,LEO,CCAFS SLC-40,Success (ground pad),2,True,True,True,5,1,1,2019,B5
87,2019-04-05,Falcon 9 B5,3761.0,GTO,KSC LC-39A,Success (ground pad),3,True,True,True,5,2,1,2019,B5
88,2019-05-21,Falcon 9 v1.1,6537.2,LEO,VAFB SLC-4E,Success (drone ship),1,False,False,True,2,0,1,2019,v1.1
89,2019-05-15,Falcon 9,7856.2,LEO,CCAFS SLC-40,Success (drone ship),2,False,True,False,1,1,1,2019,v1.0
90,2020-02-27,Falcon 9 B4,4217.8,GTO,CCAFS SLC-40,Success (drone ship),1,True,False,True,4,0,1,2020,B4
