FlightNumber,Date,PayloadMass,Outcome,Flights,GridFins,Reused,Legs,Block,ReusedCount,Class,Year,BoosterCategory,Orbit_ES-L1,Orbit_GTO,Orbit_HEO,Orbit_ISS,Orbit_LEO,Orbit_MEO,Orbit_PO,Orbit_SO,Orbit_SSO,Orbit_VLEO,LaunchSite_CCAFS SLC-40,LaunchSite_KSC LC-39A,LaunchSite_VAFB SLC-4E,BoosterVersion_Falcon 9,BoosterVersion_Falcon 9 B4,BoosterVersion_Falcon 9 B5,BoosterVersion_Falcon 9 FT,BoosterVersion_Falcon 9 v1.1
20,2012-07-20,2866.4,Failure (parachute),2,1,1,1,5,1,0,2012,B5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,2012-10-03,1736.8,No attempt,1,1,0,1,3,0,0,2012,FT,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
22,2012-09-03,5761.8,No attempt,4,1,1,1,4,3,0,2012,B4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23,2012-03-16,5884.6,Success (ground pad),1,0,0,1,2,0,1,2012,v1.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
24,2012-05-16,2822.9,Failure (parachute),1,1,0,1,4,0,0,2012,B4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25,2012-03-22,7433.1,Failure (parachute),1,1,0,1,3,0,0,2012,FT,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
26,2012-05-16,4972.9,Success (ground pad),3,1,1,1,3,2,1,2012,FT,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
27,2013-09-05,6541.1,Failure (drone ship),2,1,1,1,5,1,0,2013,B5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,2013-02-25,5339.8,Success (drone ship),2,1,1,1,3,1,1,2013,FT,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
29,2013-11-10,7419.4,Success (ground pad),4,1,1,1,5,3,1,2013,B5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
30,2013-09-04,7845.6,No attempt,1,1,0,1,5,0,0,2013,B5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
31,2013-12-02,4432.2,Failure (parachute),1,0,0,0,1,0,0,2013,v1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
32,2013-04-10,5680.1,No attempt,1,1,0,1,5,0,0,2013,B5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
33,2013-05-07,5600.3,No attempt,2,0,1,0,1,1,0,2013,v1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
34,2013-01-24,4066.5,Success (ground pad),3,1,1,1,3,2,1,2013,FT,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,2013-10-26,6199.1,Success (ground pad),2,0,1,1,2,1,1,2013,v1.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
36,2014-06-23,1953.1,Success (drone ship),1,0,0,0,1,0,1,2014,v1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,2014-01-14,7038.0,Failure (drone ship),3,1,1,1,5,2,0,2014,B5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
38,2014-10-26,6819.8,Failure (parachute),4,1,1,1,5,3,0,2014,B5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
39,2014-04-24,3224.3,No attempt,2,1,1,1,4,1,0,2014,B4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
40,2014-12-14,5949.4,Success (drone ship),2,0,1,0,1,1,1,2014,v1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
41,2014-02-19,6285.4,No attempt,1,1,0,1,3,0,0,2014,FT,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
42,2014-10-05,3975.6,Success (drone ship),2,1,1,1,5,1,1,2014,B5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
43,2014-05-12,7315.9,Success (ground pad),1,1,0,1,3,0,1,2014,FT,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
44,2014-11-19,7289.7,Success (drone ship),4,1,1,1,3,3,1,2014,FT,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
45,2015-05-05,8150.8,Failure (drone ship),1,1,0,1,3,0,0,2015,FT,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
46,2015-07-14,2867.3,Success (drone ship),1,1,0,1,4,0,1,2015,B4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,2015-10-26,4546.7,Success (drone ship),2,1,1,1,4,1,1,2015,B4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
48,2015-01-22,5948.4,Failure (drone ship),1,1,0,1,5,0,0,2015,B5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
49,2015-12-22,3758.2,Success (drone ship),3,1,1,1,4,2,1,2015,B4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,2015-07-01,2921.7,Success (drone ship),2,1,1,1,4,1,1,2015,B4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
51,2015-10-12,1327.2,Failure (drone ship),2,1,1,1,5,1,0,2015,B5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
52,2015-09-17,6818.0,No attempt,1,1,0,1,4,0,0,2015,B4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
53,2015-12-10,5255.9,Success (drone ship),1,1,0,1,5,0,1,2015,B5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
54,2016-02-05,7647.9,Failure (drone ship),3,1,1,1,5,2,0,2016,B5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
55,2016-03-06,7132.3,Failure (drone ship),1,1,0,1,5,0,0,2016,B5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56,2016-01-22,8748.6,Failure (drone ship),4,1,1,1,5,3,0,2016,B5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
57,2016-03-01,5981.1,Failure (parachute),3,0,1,0,1,2,0,2016,v1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
58,2016-05-14,4434.4,Success (ground pad),2,1,1,1,3,1,1,2016,FT,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
59,2016-08-07,8912.5,Failure (parachute),2,1,1,1,4,1,0,2016,B4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60,2016-07-15,5754.5,Failure (parachute),3,1,1,1,5,2,0,2016,B5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
61,2016-11-19,5940.3,Success (ground pad),2,1,1,1,5,1,1,2016,B5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
62,2016-08-17,724.1,Failure (drone ship),1,1,0,1,3,0,0,2016,FT,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63,2017-11-11,6306.5,Failure (drone ship),2,1,1,1,3,1,0,2017,FT,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
64,2017-10-19,3432.3,Success (drone ship),1,0,0,0,1,0,1,2017,v1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
65,2017-09-12,5626.4,Failure (parachute),1,1,0,1,3,0,0,2017,FT,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
66,2017-11-16,477.8,Failure (drone ship),1,0,0,0,1,0,0,2017,v1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
67,2017-08-22,5922.6,Success (drone ship),3,1,1,1,3,2,1,2017,FT,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
68,2017-12-13,9013.6,Success (ground pad),1,1,0,1,5,0,1,2017,B5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
69,2017-07-25,5665.6,Success (drone ship),2,1,1,1,5,1,1,2017,B5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
70,2017-04-15,3575.0,Success (drone ship),1,1,0,1,4,0,1,2017,B4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
71,2017-04-26,5475.3,Success (drone ship),1,1,0,1,4,0,1,2017,B4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
72,2018-04-11,1896.4,Failure (drone ship),1,0,0,0,1,0,0,2018,v1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
73,2018-05-04,5882.7,Failure (drone ship),3,1,1,1,5,2,0,2018,B5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
74,2018-11-08,7497.3,No attempt,1,1,0,1,3,0,0,2018,FT,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
75,2018-04-17,7672.5,Failure (drone ship),2,1,1,1,4,1,0,2018,B4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
76,2018-08-10,7181.2,Failure (drone ship),1,1,0,1,4,0,0,2018,B4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
77,2018-09-17,10757.7,No attempt,1,0,0,1,2,0,0,2018,v1.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
78,2018-05-24,4170.3,No attempt,1,1,0,1,5,0,0,2018,B5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
79,2018-08-11,4427.3,Success (drone ship),1,1,0,1,5,0,1,2018,B5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
80,2018-10-25,4548.4,Failure (parachute),2,1,1,1,4,1,0,2018,B4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
81,2019-01-25,7011.0,Success (drone ship),1,1,0,1,3,0,1,2019,FT,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
82,2019-03-08,352.9,Success (ground pad),3,1,1,1,4,2,1,2019,B4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
83,2019-05-27,5657.4,Success (ground pad),1,1,0,1,4,0,1,2019,B4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
84,2019-04-13,4449.2,Success (drone ship),3,0,1,1,2,2,1,2019,v1.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
85,2019-03-04,3797.7,Success (drone ship),1,1,0,1,4,0,1,2019,B4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
86,2019-11-12,2761.8,Success (ground pad),2,1,1,1,5,1,1,2019,B5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
87,2019-04-05,3761.0,Success (ground pad),3,1,1,1,5,2,1,2019,B5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
88,2019-05-21,6537.2,Success (drone ship),1,0,0,1,2,0,1,2019,v1.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
89,2019-05-15,7856.2,Success (drone ship),2,0,1,0,1,1,1,2019,v1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
90,2020-02-27,4217.8,Success (drone ship),1,1,0,1,4,0,1,2020,B4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
